สินค้า,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
#,รหัสสินค้า,ชื่อสินค้า,หมวดหมู่,หมวดหมู่ย่อย,หน่วยสินค้า,Barcode
80,TTG162-XXL,(D4) พี่ซอฟท์ (พื้นชมพู)(XXL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XXL),,ชิ้น,TTG162-XXL
81,TTG162-XL,(C4) พี่ซอฟท์ (พื้นชมพู)(XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XL),,ชิ้น,TTG162-XL
82,TTG162-L,(B4) พี่ซอฟท์ (พื้นชมพู)(L),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size L),,ชิ้น,TTG162-L
83,TTG162-M,(A4) พี่ซอฟท์ (พื้นชมพู)(M),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size M),,ชิ้น,TTG162-M
84,TTG161-3XL,(E4) พี่ซอฟท์ (พื้นเขียว)(3XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size 3XL),,ชิ้น,TTG161-3XL
85,TTG161-XXL,(D4) พี่ซอฟท์ (พื้นเขียว)(XXL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XXL),,ชิ้น,TTG161-XXL
86,TTG161-XL,(C4) พี่ซอฟท์ (พื้นเขียว)(XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XL),,ชิ้น,TTG161-XL
87,TTG161-L,(B4) พี่ซอฟท์ (พื้นเขียว)(L),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size L),,ชิ้น,TTG161-L
88,TTG161-M,(A4) พี่ซอฟท์ (พื้นเขียว)(M),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size M),,ชิ้น,TTG161-M
89,TTG160-3XL,(E4) พี่ซอฟท์ (พื้นครีม)(3XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size 3XL),,ชิ้น,TTG160-3XL
90,TTG160-XXL,(D4) พี่ซอฟท์ (พื้นครีม)(XXL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XXL),,ชิ้น,TTG160-XXL
91,TTG160-XL,(C4) พี่ซอฟท์ (พื้นครีม)(XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XL),,ชิ้น,TTG160-XL
92,TTG160-L,(B4) พี่ซอฟท์ (พื้นครีม)(L),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size L),,ชิ้น,TTG160-L
93,TTG160-M,(A4) พี่ซอฟท์ (พื้นครีม)(M),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size M),,ชิ้น,TTG160-M
94,TTF139-3XL,(E3) พิซซ่า พื้นชมพู(3XL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size 3XL),,ชิ้น,TTF139-3XL
95,TTF139-XXL,(D3) พิซซ่า พื้นชมพู(XXL),Boxer Short Printed Fabric (ผ้ายืดพิมพ์ลาย Size XXL),,ชิ้น,TTF139-XXL
